horodate,coefficient_ajuste,categorie,sous_profil,coefficient_prepare
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T19:00:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
2020-03-18T16:30:00+00:00,0.0,Entreprise,ENT2-BRET_HPE,0.0
